principio_activo,unidad_de_dispensacion,concentracion,unidad_base,nombre_comercial,fabricante,precio_por_tableta,factoresprecio
Miconazol,Tubo,Miconazol 2 g,g,Daktarin,Janssen,38989.0,Medio
Miconazol,Tubo,Miconazol 2 g,g,Daktarin,Janssen,32094.71429,Bajo
Metronidazol,Tableta,Metronidazol 500 mg,mg,Metronidazol,Tecnoquimicas,183.2376003,Medio
Metronidazol,Tableta,Metronidazol 500 mg,mg,Metronidazol,Tecnoquimicas,132.0,Medio
Amlodipino,Tableta,Amlodipino 10 mg,mg,Norvas,Pfizer,6609.660173,Alto
Amlodipino,Tableta,Amlodipino 10 mg,mg,Norvas,Pfizer,8743.394904,Alto
Guayacolato De Glicerilo,Frasco,Guayacolato De Glicerilo 100 mg,ml,Guayacolato De Glicerilo,Licol,2582.254026,Medio
Guayacolato De Glicerilo,Frasco,Guayacolato De Glicerilo 100 mg,ml,Guayacolato De Glicerilo,Licol,2086.534858,Medio
Cloruro De Potasio,Ampolla,Cloruro De Potasio 2 meq,ml,Cloruro De Potasio,Ryan,1600.0,Medio
Cloruro De Potasio,Ampolla,Cloruro De Potasio 2 meq,ml,Cloruro De Potasio,Ryan,1475.0,Medio
Ondansetron,Tableta,Ondansetron 8 mg,mg,Bryterol,Ropsohn,4859.0,Alto
Fluconazol,Capsula,Fluconazol 150 mg,mg,Fluconazol,Genfar,1988.342421,Medio
Fluconazol,Capsula,Fluconazol 150 mg,mg,Fluconazol,Genfar,806.281907,Bajo
Bromuro De Ipratropio,Frasco,Bromuro De Ipratropio 25 mg,ml,Atrovent,Boehringer,22149.97011,Medio
Bromuro De Ipratropio,Frasco,Bromuro De Ipratropio 25 mg,ml,Atrovent,Boehringer,21298.80983,Medio
Oxcarbazepina,Frasco,Oxcarbazepina 300 mg,ml,Trileptal,Novartis,26504.0,Medio
Oxcarbazepina,Frasco,Oxcarbazepina 300 mg,ml,Trileptal,Novartis,26504.0,Medio
Furosemida,Tableta,Furosemida 40 mg,mg,Furosemida,American Generics,177.9691421,Medio
Gemfibrozilo,Tableta,Gemfibrozilo 600 mg,mg,Gemfibrozilo,Winthrop,651.240699,Medio
Gemfibrozilo,Tableta,Gemfibrozilo 600 mg,mg,Gemfibrozilo,Winthrop,151.8890327,Bajo
Lovastatina,Tableta,Lovastatina 20 mg,mg,Lovastatina,Novamed,75.32653061,Medio
Dextrosa,Bolsa,Dextrosa 10 g,ml,Dextrosa Al 10%,Baxter,2056.608108,Medio
Dextrosa,Bolsa,Dextrosa 10 g,ml,Dextrosa Al 10%,Baxter,1973.933333,Medio
Dextrosa,Bolsa,Dextrosa 10 g,ml,Dextrosa Al 10%,Baxter,1988.707946,Bajo
Dextrosa,Bolsa,Dextrosa 10 g,ml,Dextrosa Al 10%,Baxter,1832.625,Bajo
Diclofenaco,Tubo,Diclofenaco 1 g,g,Diclofenaco,Genfar,2983.559819,Bajo
Ketoprofeno,Ampolla,Ketoprofeno 100 mg,ml,Ketoprofeno,Genfar,3231.825715,Bajo
Ketoprofeno,Ampolla,Ketoprofeno 100 mg,ml,Ketoprofeno,Genfar,885.0519309,Medio
Albendazol,Frasco,Albendazol 2 g,ml,Helminzol,Biochem,9305.900778,Alto
Acido Acetilsalicilico,Tableta,Acido Acetilsalicilico 100 mg,mg,Cardioaspirina,Bayer,1529.9,Alto
Acido Acetilsalicilico,Tableta,Acido Acetilsalicilico 100 mg,mg,Cardioaspirina,Bayer,898.7742402,Alto
Cefradina,Tableta,Cefradina 1000 mg,mg,Cefradina,Tecnoquimicas,4812.681092,Medio
Cefradina,Tableta,Cefradina 1000 mg,mg,Cefradina,Tecnoquimicas,2509.030418,Medio
Vitamina E,Capsula,Vitamina E 400 IU,IU,Aquasol E,Siegfried,1249.455903,Medio
Vitamina E,Capsula,Vitamina E 400 IU,IU,Aquasol E,Siegfried,192.405801,Bajo
Piroxicam,Capsula,Piroxicam 20 mg,mg,Piroxicam,Tecnoquimicas,315.8438544,Medio
Piroxicam,Capsula,Piroxicam 20 mg,mg,Piroxicam,Tecnoquimicas,182.1558407,Alto
Betametasona,Ampolla,Betametasona 4 mg,mg,Celestone,Merck,18734.0,Alto
Betametasona,Ampolla,Betametasona 4 mg,mg,Celestone,Merck,6560.0,Alto
Metronidazol,Ovulo,Metronidazol 500 mg,mg,Metronidazol,Colmed,646.6857809,Bajo
Metronidazol,Ovulo,Metronidazol 500 mg,mg,Metronidazol,Colmed,302.1052632,Bajo
Isoconazol,Ovulo,Isoconazol Nitrato 600 mg,mg,Ilana,Procaps,10091.3486,Medio
Isoconazol,Tubo,Isoconazol Nitrato 1 g,g,Ilana,Procaps,11556.3543,Bajo
Isoconazol,Tubo,Isoconazol Nitrato 1 g,g,Ilana,Procaps,12710.0,Alto
Diclofenaco E Hidroxido De Aluminio,Capsula,Hidroxido De Aluminio 200 mg + Diclofenaco 100 mg,mg,Diclofenaco,Procaps,949.1201717,Medio
Diclofenaco E Hidroxido De Aluminio,Capsula,Hidroxido De Aluminio 200 mg + Diclofenaco 100 mg,mg,Diclofenaco,Procaps,230.0,Medio
Rocuronio Bromuro,Vial,Rocuronio Bromuro 50 mg,ml,Esmeron,Merck,34350.0,Alto
Rocuronio Bromuro,Vial,Rocuronio Bromuro 50 mg,ml,Esmeron,Merck,16322.36199,Alto
Cefalexina,Tableta,Cefalexina 500 mg,mg,Cefalexina,Lafrancol,492.0542037,Bajo
Cefradina,Capsula,Cefradina 500 mg,mg,Cefradina,Lafrancol,854.0,Medio
Cefradina,Capsula,Cefradina 500 mg,mg,Cefradina,Lafrancol,856.9860348,Bajo
Haloperidol,Tableta,Haloperidol 5 mg,mg,Haloperidol,Memphis,299.0476994,Alto
Cefalexina,Capsula,Cefalexina 500 mg,mg,Cefalexina,La Sante,704.3048736,Medio
Cefalexina,Capsula,Cefalexina 500 mg,mg,Cefalexina,La Sante,272.3078421,Medio
Cefalexina,Capsula,Cefalexina 500 mg,mg,Cefalexina,Tecnoquimicas,676.2855539,Medio
Cefalexina,Capsula,Cefalexina 500 mg,mg,Cefalexina,Tecnoquimicas,504.731684,Alto
Ibuprofeno,Frasco,Ibuprofeno 2 g,ml,Ibuprofeno,American Generics,5989.724389,Bajo
Tinidazol,Tableta,Tinidazol 1 g,g,Tinidazol,Genfar,736.9594825,Bajo
Tinidazol,Tableta,Tinidazol 1 g,g,Tinidazol,Genfar,441.4046108,Alto
Cefotaxima,Vial,Cefotaxima 1 g,g,Cefotaxima,Vitalis,5400.0,Medio
Cefotaxima,Vial,Cefotaxima 1 g,g,Cefotaxima,Vitalis,5137.146283,Medio
Metronidazol,Ovulo,Metronidazol 500 mg,mg,Metronidazol,Tecnofar,864.7983554,Medio
Metronidazol,Ovulo,Metronidazol 500 mg,mg,Metronidazol,Tecnofar,721.4897004,Medio
Benzidamina,Tableta,Bencidamina 3 mg,mg,Benzirin,Aziende,1681.636137,Medio
Benzidamina,Tableta,Bencidamina 3 mg,mg,Benzirin,Aziende,1614.0,Medio
Cefuroxima,Vial,Cefuroxima 750 mg,mg,Cefuroxima,Vitalis,6074.10411,Medio
L-Ornitina-L-Aspartatato,Sobre,L-Ornitina-L-Aspartatato 3 g,g,Hepa- Merz,Merz Pharmaceuticals,5656.0,Medio
L-Ornitina-L-Aspartatato,Sobre,L-Ornitina-L-Aspartatato 3 g,g,Hepa- Merz,Merz Pharmaceuticals,5656.0,Medio
Dexametasona + Gentamicina + Ketoconazol,Tubo,"Ketoconazol 2 g + Dexametasona 0,04 g + Gentamicina 0,1 g",g,Dermatrex,Farma,25286.69245,Medio
Dexametasona + Gentamicina + Ketoconazol,Tubo,"Ketoconazol 2 g + Dexametasona 0,04 g + Gentamicina 0,1 g",g,Dermatrex,Farma,28219.0,Medio
L-Ornitina-L-Aspartatato,Ampolla,L-Ornitina-L-Aspartatato 5 g,ml,Hepa-Merz,Merz Pharmaceuticals,23163.39833,Medio
Hidroclorotiazida Y Losartan,Tableta,"Hidroclorotiazida 12,5 mg + Losartan 50 mg",mg,Satoren,Bussié,6832.877778,Medio
Hidroclorotiazida Y Losartan,Tableta,"Hidroclorotiazida 12,5 mg + Losartan 50 mg",mg,Satoren,Bussié,66.52033983,Bajo
Ibuprofeno,Tableta,Ibuprofeno 400 mg,mg,Motrin,Pfizer,1157.0,Alto
Ibuprofeno,Tableta,Ibuprofeno 400 mg,mg,Motrin,Pfizer,803.6190476,Medio
Ibuprofeno,Tableta,Ibuprofeno 600 mg,mg,Motrin,Pfizer,1993.0,Medio
Ibuprofeno,Tableta,Ibuprofeno 600 mg,mg,Motrin,Pfizer,1442.0,Alto
Salbutamol,Aerosol,Salbutamol 100 mcg,dosis,Ventilan Osp,Glaxosmithkline,18920.0,Alto
Salbutamol,Aerosol,Salbutamol 100 mcg,dosis,Ventilan Osp,Glaxosmithkline,8102.019477,Medio
Vitaminas Liposolubles,Ampolla,Vitaminas Liposolubles,ml,Vitalipid - Ninfant,Fresenius,688.9172466,Bajo
Vitaminas Liposolubles,Ampolla,Vitaminas Liposolubles,ml,Vitalipid - Adult,Fresenius,979.4694809,Alto
Celecoxib,Capsula,Celecoxib 200 mg,mg,Celebrex,Pfizer,1350.785345,Medio
Celecoxib,Capsula,Celecoxib 200 mg,mg,Celebrex,Pfizer,1304.067873,Alto
Biperideno,Tableta,Biperideno 2 mg,mg,Biperideno,Tecnoquimicas,483.3697556,Alto
Biperideno,Tableta,Biperideno 2 mg,mg,Biperideno,Tecnoquimicas,147.9246484,Bajo
Ciprofloxacina,Frasco,Ciprofloxacina 3 mg,mg,Otosec,Siegfried,12331.16359,Medio
Acetaminofen Y Cafeina,Tableta,Cafeina 50 mg + Acetaminofen 500 mg,mg,Dolofen Forte,Procaps,1010.0,Alto
Acetaminofen Y Cafeina,Tableta,Cafeina 50 mg + Acetaminofen 500 mg,mg,Dolofen Forte,Procaps,264.5098039,Medio
Triclosan,Frasco,"Triclosan 0,2 g",g,Yodora,Tecnofar,5849.759884,Bajo
Triclosan,Frasco,"Triclosan 0,2 g",g,Yodora,Tecnofar,11528.78765,Medio
Triclosan,Frasco,"Triclosan 0,2 g",g,Yodora,Tecnofar,23955.06,Alto
Triclosan,Frasco,"Triclosan 0,2 g",g,Yodora,Tecnofar,6216.731887,Medio
Elementos Traza,Vial,Elementos Traza,ml,Peditrace,Fresenius,3959.068356,Medio
Fluconazol,Capsula,Fluconazol 150 mg,mg,Fluconazol,Memphis,1293.087482,Bajo
Metoprolol,Tableta,Metoprolol 200 mg,mg,Betaloc Zok,Astrazeneca,2040.0,Medio
Metoprolol,Tableta,Metoprolol 200 mg,mg,Betaloc Zok,Astrazeneca,2005.287356,Medio
Claritromicina,Tableta,Claritromicina 500 mg,mg,Claritromicina,Memphis,2018.225878,Bajo
Telmisartan,Tableta,Telmisartan 80 mg,mg,Micardis,Boehringer,953.6334955,Medio
Telmisartan,Tableta,Telmisartan 80 mg,mg,Micardis,Boehringer,889.851872,Alto
Tamsulosina,Capsula,"Tamsulosina 0,4 mg",mg,Tamsulon,Monte Verde,5187.420369,Medio
Tamsulosina,Capsula,"Tamsulosina 0,4 mg",mg,Tamsulon,Monte Verde,907.7196429,Medio
Mentol + Alcanfor + Eucalipto,Frasco,"Alcanfor 5,26 g + Mentol 2,82 g + Aceite De Eucalipto 1,33 g",g,Vick Vaporub,Procter & Gamble,3904.960978,Bajo
Mentol + Alcanfor + Eucalipto,Frasco,"Alcanfor 5,26 g + Mentol 2,82 g + Aceite De Eucalipto 1,33 g",g,Vick Vaporub,Procter & Gamble,16378.69805,Alto
Moxifloxacina,Tableta,Moxifloxacina 400 mg,mg,Avelox,Bayer,32556.8,Alto
Moxifloxacina,Tableta,Moxifloxacina 400 mg,mg,Avelox,Bayer,8196.0,Alto
Atorvastatina,Tableta,Atorvastatina 20 mg,mg,Atorvastatina,Procaps,720.4896043,Medio
Mebeverina,Capsula,Mebeverina 200 mg,mg,Duspatalin,Lafrancol,6255.417293,Alto
Mebeverina,Capsula,Mebeverina 200 mg,mg,Duspatalin,Lafrancol,3600.0,Medio
Estrogenos Conjugados,Tableta,"Estrogenos Conjugados 0,625 mg",mg,Estermax,Chalver,886.25,Medio
Estrogenos Conjugados,Tableta,"Estrogenos Conjugados 0,625 mg",mg,Estermax,Chalver,471.3378597,Medio
Ciproterone Y Etinilestradiol,Tableta,"Etinilestradiol 0,035 mg + Ciproterona Acetato 2 mg",mg,Facetix,Synthesis,401.9728276,Bajo
Ciproterone Y Etinilestradiol,Tableta,"Etinilestradiol 0,035 mg + Ciproterona Acetato 2 mg",mg,Facetix,Synthesis,393.4540943,Alto
Lorazepam,Tableta,Lorazepam 2 mg,mg,Ativan,Pfizer,1430.0,Alto
Lorazepam,Tableta,Lorazepam 2 mg,mg,Ativan,Pfizer,586.8670213,Alto
Lorazepam,Tableta,Lorazepam 1 mg,mg,Ativan,Pfizer,758.0,Medio
Lorazepam,Tableta,Lorazepam 1 mg,mg,Ativan,Pfizer,378.2738128,Medio
Diclofenaco,Tableta,Diclofenaco 50 mg,mg,Diclofenaco,Genfar,117.1048024,Medio
Hidroclorotiazida Y Amlodipino,Tableta,"Hidroclorotiazida 12,5 mg + Amlodipino 5 mg",mg,Amdipin H,Lafrancol,9447.321818,Medio
Hidroclorotiazida Y Amlodipino,Tableta,"Hidroclorotiazida 12,5 mg + Amlodipino 5 mg",mg,Amdipin H,Lafrancol,2948.538067,Medio
Hidroclorotiazida Y Amlodipino,Tableta,Hidroclorotiazida 25 mg + Amlodipino 10 mg,mg,Amdipin H,Lafrancol,13399.1,Medio
Hidroclorotiazida Y Amlodipino,Tableta,Hidroclorotiazida 25 mg + Amlodipino 10 mg,mg,Amdipin H,Lafrancol,5371.459055,Medio
Salmeterol Y Fluticasona,Inhalador,Fluticasona 500 mcg + Salmeterol 50 mcg,mcg,Seretide Diskus,Glaxosmithkline,37522.63727,Medio
Bupivacaina,Ampolla,"Levobupivacaina 7,5 mg",ml,"Bupinest 0,75%",Ropsohn,8285.389327,Medio
Progesterona,Capsula,Progesterona 100 mg,mg,Geslutin Pnm,Asofarma,4352.452998,Medio
Acido Salicilico,Tubo,Acido Salicilico 53 g,g,Matacallos Vencedor,Anglopharma,4244.637681,Medio
Acido Salicilico,Tubo,Acido Salicilico 53 g,g,Matacallos Vencedor,Anglopharma,3933.333333,Medio
Pamoato De Pirantel,Tableta,Pirantel 250 mg,mg,Pirantel,Genfar,519.7096427,Bajo
Pamoato De Pirantel,Tableta,Pirantel 250 mg,mg,Pirantel,Genfar,214.4763168,Bajo
Trazodona,Tableta,Trazodona 150 mg,mg,Trittico A.C,Aziende,10025.86659,Medio
Trazodona,Tableta,Trazodona 150 mg,mg,Trittico A.C,Aziende,2980.26081,Medio
Exemestano,Tableta,Exemestano 25 mg,mg,Aromasin,Pfizer,3786.390569,Medio
Alcohol Etilico,Frasco,"Alcohol Etilico 72,9 ml",ml,Alcohol Antiseptico Remy,Osa,4122.25,Medio
Alcohol Etilico,Frasco,"Alcohol Etilico 72,9 ml",ml,Alcohol Antiseptico Remy,Osa,1821.055269,Bajo
Alcohol Etilico,Frasco,"Alcohol Etilico 72,9 ml",ml,Alcohol Antiseptico Remy,Osa,20497.79592,Alto
Fentanilo,Ampolla,"Fentanilo 0,5 mg",ml,Fentanilo,Sanderson,89.25720131,Medio
Levodropropizina,Frasco,"Levodropropizina 0,6 g",ml,Levopront R,Bago,29400.0,Medio
Vitamina E,Capsula,Vitamina E 1000 IU,IU,Vitamina E,Procaps,1598.953383,Bajo
Vitamina E,Capsula,Vitamina E 1000 IU,IU,Vitamina E,Procaps,370.9477901,Bajo
Secnidazol,Tableta,Secnidazol 1 g,g,Secnidazol,Tecnoquimicas,11870.32283,Alto
Secnidazol,Tableta,Secnidazol 1 g,g,Secnidazol,Tecnoquimicas,2242.010989,Medio
N- Butil Bromuro De Hioscina Y Dipirona,Ampolla,"Dipirona 2,5 g + N- Butil Bromuro De Hioscina 20 mg",ml,Hioscina + Dipirona,Ryan,1909.445378,Medio
N- Butil Bromuro De Hioscina Y Dipirona,Ampolla,"Dipirona 2,5 g + N- Butil Bromuro De Hioscina 20 mg",ml,Hioscina + Dipirona,Ryan,1196.666667,Bajo
N-Butilbromuro De Hioscina,Ampolla,N- Butil Bromuro De Hioscina 20 mg,ml,Butilbromuro Hioscina,Ryan,970.5289673,Bajo
N-Butilbromuro De Hioscina,Ampolla,N- Butil Bromuro De Hioscina 20 mg,ml,Butilbromuro Hioscina,Ryan,908.3333333,Medio
Ciproheptadina,Sobre,"Ciproheptadina 0,035 g",g,Trimetabol,J Uriach,9392.921569,Medio
Piridoxina+ Tiamina + Cianocobalamina,Ampolla,Cianocobalamina 1 mg + Piridoxina (Vit B6) 100 mg + Tiamina (Vit B1) 100 mg,ml,Neurobion,Procter & Gamble,11022.71478,Medio
Ketorolaco,Ampolla,Ketorolaco 30 mg,ml,Ketron,Bussié,1830.791005,Alto
Dalteparina,Jeringa Prellenada,Dalteparina 5000 IU,ml,Fragmin,Pfizer,14378.0,Medio
Dalteparina,Jeringa Prellenada,Dalteparina 5000 IU,ml,Fragmin,Pfizer,11385.95297,Medio
Naproxeno,Tableta,Naproxeno 550 mg,mg,Naproxeno Sodico,Tecnoquimicas,873.0106631,Bajo
Naproxeno,Tableta,Naproxeno 550 mg,mg,Naproxeno Sodico,Tecnoquimicas,409.908326,Bajo
Vitamina A,Capsula,Retinol ( Vit A) 50000 IU,IU,Retiblan,Colmed,579.4704074,Alto
Vitamina A,Capsula,Retinol ( Vit A) 50000 IU,IU,Retiblan,Colmed,235.291637,Alto
Acetilcisteina,Frasco,Acetilcisteina 2 g,ml,Fluimucil,Zambon,20119.0,Medio
Clobetasol,Tubo,"Clobetasol Propionato 0,05 g",g,Clobetasol,American Generics,11864.21391,Medio
Clobetasol,Tubo,"Clobetasol Propionato 0,05 g",g,Clobetasol,American Generics,4006.855518,Medio
Lamivudina,Tableta,Lamivudina 150 mg,mg,Lutic,Legrand,828.0529801,Medio
Hidroclorotiazida E Irbesartan,Tableta,"Hidroclorotiazida 12,5 mg + Irbesartan 150 mg",mg,Coaprovel,Sanofi Aventis,937.5,Medio
Hidroclorotiazida E Irbesartan,Tableta,"Hidroclorotiazida 12,5 mg + Irbesartan 150 mg",mg,Coaprovel,Sanofi Aventis,313.6536421,Medio
Hidroclorotiazida E Irbesartan,Tableta,"Hidroclorotiazida 12,5 mg + Ibersartan 300 mg",mg,Coaprovel,Sanofi Aventis,1875.0,Medio
Hidroclorotiazida E Irbesartan,Tableta,"Hidroclorotiazida 12,5 mg + Ibersartan 300 mg",mg,Coaprovel,Sanofi Aventis,624.7572254,Medio
L-Alanil-L-Glutamina,Vial,"L-Alanil-L-Glutamina 0,2 g",ml,Dipeptiven,Fresenius,25691.48982,Medio
Sildenafil,Tableta,Sildenafil 50 mg,mg,Eroxim,Lafrancol,8628.90984,Alto
Sildenafil,Tableta,Sildenafil 50 mg,mg,Eroxim,Lafrancol,5419.454545,Alto
Dalteparina,Jeringa Prellenada,Dalteparina 2500 IU,ml,Fragmin,Pfizer,6315.728671,Medio
Fluorouracilo,Vial,Fluorouracilo 500 mg,ml,Fluorouracilo,Korea United Pharm,809.9256308,Bajo
Fluorouracilo,Vial,Fluorouracilo 500 mg,ml,Fluorouracilo,Korea United Pharm,475.3,Bajo
Multienzimas (Lipasa Proteasa Etc.),Capsula,Pancreatina 150 mg,mg,Creon,Lafrancol,2174.9,Medio
Multienzimas (Lipasa Proteasa Etc.),Capsula,Pancreatina 150 mg,mg,Creon,Lafrancol,1078.077302,Medio
Gabapentin,Tableta,Gabapentin 600 mg,mg,Neurontin,Pfizer,803.1111111,Medio
Gabapentin,Tableta,Gabapentin 600 mg,mg,Neurontin,Pfizer,790.8233669,Alto
